                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.4043,                 2.0717,                0.74541,                0.96898,                0.76531,                 0.7051,                0.70009,                0.41996,                0.72227,                0.66031,                0.66356,                0.28828,                 1.3935,                 2.1808,                0.74428,                0.94633,               0.006337,               0.006337,               0.006337
                     40,                 1.3953,                 2.0703,                0.73612,                0.96801,                0.76628,                0.72482,                0.71167,                 0.4285,                  0.723,                 0.6574,                0.66933,                0.28607,                 1.3848,                 2.1501,                0.74149,                0.94552,               0.006238,               0.006238,               0.006238
                     41,                 1.3928,                 2.0781,                 0.7431,                0.96803,                0.78673,                0.70842,                0.71046,                0.43277,                0.72543,                0.64763,                0.65717,                0.27842,                 1.3745,                 2.1561,                0.73348,                0.94092,               0.006139,               0.006139,               0.006139
                     42,                 1.3901,                 2.0555,                0.73293,                0.96769,                0.77458,                0.70676,                0.70216,                0.42561,                0.72019,                0.65574,                0.66336,                0.28664,                 1.3766,                 2.1933,                0.73892,                0.94593,                0.00604,                0.00604,                0.00604
                     43,                  1.393,                  2.073,                0.74331,                0.96757,                 0.7621,                0.71614,                0.70824,                0.43091,                 0.7089,                0.65657,                0.66674,                0.28594,                  1.376,                 2.1495,                  0.732,                0.94355,               0.005941,               0.005941,               0.005941
                     44,                  1.395,                 2.0747,                0.73757,                0.96675,                0.77351,                0.71672,                0.70803,                0.42927,                0.71653,                0.66238,                0.67091,                0.29195,                 1.3757,                 2.1581,                0.74171,                0.94151,               0.005842,               0.005842,               0.005842
                     45,                  1.386,                  2.074,                  0.746,                0.96281,                0.77157,                0.71728,                0.71004,                0.42903,                0.72893,                0.64467,                0.66676,                0.28738,                 1.3644,                 2.1534,                0.73145,                0.93979,               0.005743,               0.005743,               0.005743
                     46,                 1.3728,                 2.0492,                0.73232,                0.95889,                0.77171,                0.72045,                0.71163,                0.43393,                0.72946,                0.64304,                0.66765,                0.29062,                 1.3623,                 2.1502,                0.72777,                0.94014,               0.005644,               0.005644,               0.005644
                     47,                 1.3705,                  2.024,                0.72927,                0.96178,                0.77387,                0.71254,                0.70737,                0.43377,                0.73046,                0.64828,                0.66709,                0.28332,                 1.3553,                 2.1257,                0.72819,                0.93915,               0.005545,               0.005545,               0.005545
                     48,                 1.3813,                 2.0713,                0.73547,                 0.9613,                0.77349,                 0.7163,                0.70822,                0.43104,                0.72929,                0.65927,                0.66813,                 0.2916,                 1.3698,                  2.133,                0.73677,                0.94143,               0.005446,               0.005446,               0.005446
