                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4808,                 2.6448,                 1.0748,                 1.1087,                0.71782,                 0.4837,                0.50045,                0.26863,                0.61157,                0.39864,                0.40761,                0.18414,                 1.8213,                 3.4503,                 1.2754,                 1.1107,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4733,                 2.6221,                 1.0164,                 1.0978,                0.72685,                0.45302,                0.49572,                0.26327,                0.63847,                0.38449,                0.41661,                0.18532,                 1.8431,                 3.4201,                 1.2776,                 1.1114,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4547,                 2.5984,                 1.0198,                 1.0978,                0.70062,                0.48821,                0.50309,                0.26714,                0.58407,                0.41016,                0.42479,                0.19879,                 1.8723,                 3.4511,                  1.294,                 1.1098,               0.001307,               0.001307,               0.001307
                     38,                 1.4408,                 2.5821,                0.99842,                 1.0924,                0.71718,                0.46936,                0.49353,                0.25913,                0.58118,                0.41592,                0.41486,                0.18564,                 1.8749,                  3.461,                 1.3063,                 1.1201,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4365,                 2.5702,                0.99622,                 1.0939,                0.74108,                0.47678,                0.51039,                0.27023,                0.59838,                0.40492,                0.41804,                 0.1868,                 1.8328,                 3.5485,                 1.3132,                 1.1193,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4166,                 2.6078,                0.98969,                  1.086,                 0.7261,                0.46104,                0.49826,                0.26641,                0.60856,                0.39654,                0.41929,                0.18676,                 1.8505,                 3.4134,                 1.2949,                 1.1117,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.4384,                 2.5635,                0.98962,                 1.0893,                0.71131,                0.49607,                 0.5148,                0.26587,                0.57142,                0.40597,                0.40733,                0.17778,                 1.8607,                 3.5592,                 1.3688,                 1.1199,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.449,                  2.592,                 1.0049,                 1.0975,                0.71691,                0.48455,                0.51048,                0.26528,                0.60724,                0.39288,                0.41098,                0.18259,                 1.8352,                 3.4616,                 1.2745,                 1.1135,               0.001208,               0.001208,               0.001208
                     43,                 1.4302,                 2.5386,                  0.979,                 1.0868,                 0.7556,                0.47564,                0.51059,                0.27079,                0.67102,                0.40281,                0.43387,                0.19628,                 1.8272,                 3.3818,                 1.2294,                 1.1116,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.4457,                 2.6397,                0.98081,                 1.0881,                0.69011,                0.48664,                0.51125,                0.26503,                0.56142,                0.39969,                0.40819,                0.18491,                 1.8497,                 3.4428,                 1.2921,                 1.1119,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.4132,                 2.5531,                0.96786,                 1.0793,                0.73728,                0.47669,                0.50837,                0.25915,                0.56508,                0.39916,                0.39601,                0.17102,                 1.8283,                 3.4471,                 1.2841,                 1.0999,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.4016,                 2.5649,                0.95774,                 1.0682,                0.74302,                0.49031,                 0.5217,                 0.2693,                0.61975,                0.38762,                0.41552,                0.18868,                 1.8494,                 3.4435,                 1.2963,                 1.1156,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.4248,                 2.5654,                0.95264,                 1.0774,                0.71449,                0.48895,                0.51448,                0.26178,                0.59116,                0.38659,                0.40025,                0.18224,                   1.87,                 3.4542,                 1.2456,                 1.1135,               0.001109,               0.001109,               0.001109
                     48,                 1.4224,                 2.5562,                0.96983,                 1.0839,                0.71578,                 0.4924,                0.51966,                0.27623,                 0.5882,                0.40754,                0.41436,                0.19011,                 1.8391,                 3.3917,                 1.2216,                 1.1022,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.4015,                 2.6003,                0.95499,                 1.0748,                0.75285,                0.48669,                0.51543,                0.27656,                0.61006,                0.42588,                0.42635,                0.19547,                 1.8426,                 3.3592,                 1.2548,                 1.1125,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.4074,                 2.5289,                0.95333,                   1.07,                0.70631,                0.48503,                0.50302,                0.25743,                 0.6143,                0.37794,                0.39199,                0.17484,                 1.8682,                 3.4187,                 1.2705,                 1.1159,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3786,                 2.4986,                0.92838,                 1.0733,                0.76519,                0.50236,                0.52556,                 0.2779,                0.61362,                  0.391,                0.41289,                0.18383,                 1.8597,                 3.4464,                 1.2635,                 1.1156,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.374,                 2.4938,                0.92857,                 1.0572,                0.74137,                0.49555,                0.52719,                 0.2768,                0.60834,                0.39497,                0.41388,                 0.1875,                 1.8316,                  3.418,                 1.2299,                 1.1072,                0.00101,                0.00101,                0.00101
                     53,                 1.3647,                 2.5093,                 0.9238,                 1.0667,                0.75559,                0.50183,                0.53374,                0.27897,                0.65019,                0.39531,                0.41958,                0.18749,                 1.8255,                 3.4537,                 1.2163,                 1.1011,              0.0009902,              0.0009902,              0.0009902
