                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.4106,                 2.2194,                0.79555,                 1.0165,                0.77122,                 0.7192,                0.71142,                0.43163,                0.72886,                0.65527,                0.67547,                 0.2869,                  1.392,                 2.2946,                0.75156,                0.94061,               0.005644,               0.005644,               0.005644
                     47,                 1.4083,                 2.2296,                0.78433,                  1.019,                0.77539,                0.71801,                0.71544,                0.43308,                0.72835,                0.66147,                0.67467,                0.28739,                  1.393,                 2.3121,                0.74587,                0.93816,               0.005545,               0.005545,               0.005545
                     48,                 1.4089,                 2.2222,                0.78892,                 1.0173,                0.77251,                0.71607,                0.71227,                 0.4311,                0.72883,                 0.6458,                0.66446,                0.28511,                  1.392,                 2.3101,                0.74604,                0.93822,               0.005446,               0.005446,               0.005446
                     49,                 1.3931,                 2.2362,                0.78884,                 1.0132,                0.77237,                0.72035,                0.71313,                0.43188,                0.72216,                0.65733,                0.66969,                0.28588,                 1.3833,                 2.3199,                0.74495,                0.93689,               0.005347,               0.005347,               0.005347
                     50,                 1.4086,                 2.2508,                0.78835,                 1.0149,                0.77376,                0.71582,                0.71041,                0.43319,                0.71793,                0.65774,                0.66956,                0.28657,                 1.3814,                 2.3135,                0.74455,                0.93678,               0.005248,               0.005248,               0.005248
                     51,                 1.4079,                 2.2216,                0.78946,                 1.0157,                0.77326,                0.71774,                0.71013,                0.43397,                0.72069,                0.66021,                0.67282,                0.28624,                 1.3786,                 2.3024,                0.74265,                0.93488,               0.005149,               0.005149,               0.005149
                     52,                 1.3755,                 2.1941,                0.77686,                 1.0092,                0.77265,                0.72364,                0.71393,                0.43552,                0.72243,                 0.6614,                0.67238,                0.28776,                 1.3819,                 2.4202,                0.74394,                0.93504,                0.00505,                0.00505,                0.00505
                     53,                 1.3927,                 2.2109,                0.77589,                 1.0092,                0.76975,                 0.7187,                0.71066,                0.43785,                0.72759,                0.65939,                0.67311,                0.28978,                 1.3801,                 2.4295,                0.74711,                0.93458,               0.004951,               0.004951,               0.004951
                     54,                  1.392,                 2.2312,                0.76436,                 1.0135,                0.77692,                0.71417,                0.70989,                0.43683,                0.72595,                0.65733,                 0.6693,                0.28784,                 1.3714,                 2.3911,                0.74048,                0.93492,               0.004852,               0.004852,               0.004852
                     55,                 1.3683,                 2.1997,                0.76511,                 1.0053,                0.77187,                0.71488,                0.70994,                0.43539,                0.72168,                0.65774,                0.67148,                0.28821,                 1.3715,                 2.3883,                0.74225,                0.93607,               0.004753,               0.004753,               0.004753
                     56,                 1.3804,                 2.1905,                0.76561,                 1.0082,                0.76537,                0.72446,                0.71269,                0.43519,                0.72414,                0.65774,                0.67438,                0.29021,                 1.3702,                 2.4001,                0.74163,                0.93426,               0.004654,               0.004654,               0.004654
                     57,                 1.3705,                 2.1921,                0.76104,                 1.0063,                0.76963,                0.71964,                0.71132,                0.43706,                0.72133,                0.65778,                0.67526,                0.29105,                 1.3659,                 2.4315,                0.73724,                0.93437,               0.004555,               0.004555,               0.004555
                     58,                 1.3824,                 2.1645,                0.76923,                  1.003,                0.77087,                 0.7187,                0.71349,                0.43823,                0.72546,                0.66145,                0.67838,                0.29278,                 1.3632,                 2.4129,                0.73693,                0.93321,               0.004456,               0.004456,               0.004456
                     59,                 1.3732,                 2.1879,                0.75426,                 1.0077,                0.77162,                0.72405,                0.71763,                0.43861,                 0.7212,                0.66227,                0.67646,                0.29224,                 1.3678,                  2.399,                 0.7382,                0.93381,               0.004357,               0.004357,               0.004357
                     60,                 1.3585,                 2.1478,                0.75397,                 1.0002,                0.77429,                0.72056,                0.71681,                0.43928,                0.71728,                0.66353,                0.67128,                0.29052,                 1.3606,                 2.3899,                0.73549,                0.93211,               0.004258,               0.004258,               0.004258
                     61,                  1.362,                 2.1583,                0.75231,                0.99498,                0.77481,                0.71911,                 0.7156,                0.43869,                0.71948,                0.66762,                0.67469,                0.29268,                  1.364,                 2.4053,                0.73727,                0.93399,               0.004159,               0.004159,               0.004159
                     62,                  1.356,                 2.1725,                 0.7474,                 1.0036,                0.77289,                0.71904,                0.71549,                0.43891,                0.71777,                0.66557,                0.67479,                0.29584,                 1.3592,                 2.3965,                0.73251,                0.93398,                0.00406,                0.00406,                0.00406
                     63,                 1.3621,                 2.1723,                0.75443,                 1.0003,                 0.7706,                0.72199,                0.71593,                0.44077,                 0.7234,                0.66998,                0.67877,                0.29618,                 1.3507,                 2.3958,                0.73084,                0.93243,               0.003961,               0.003961,               0.003961
                     64,                 1.3418,                  2.159,                0.74491,                0.99886,                0.76648,                0.72405,                0.71451,                0.44224,                0.72568,                0.66845,                0.67983,                0.29531,                 1.3504,                 2.3717,                0.73062,                0.93215,               0.003862,               0.003862,               0.003862
                     65,                 1.3411,                 2.1354,                0.74745,                0.99051,                0.77121,                0.71952,                0.71424,                0.44169,                0.72316,                0.66639,                0.67964,                0.29348,                  1.344,                 2.3724,                0.72992,                0.92976,               0.003763,               0.003763,               0.003763
                     66,                 1.3384,                 2.1245,                0.73248,                0.98747,                0.77236,                0.72107,                0.71597,                0.44413,                0.72743,                 0.6661,                0.68191,                 0.2936,                 1.3399,                 2.3689,                0.72797,                0.92895,               0.003664,               0.003664,               0.003664
                     67,                 1.3415,                  2.163,                0.74509,                0.99366,                0.77401,                0.72224,                0.71627,                0.44478,                0.72622,                0.66516,                 0.6798,                0.29456,                 1.3363,                  2.369,                0.72677,                0.92754,               0.003565,               0.003565,               0.003565
                     68,                 1.3267,                 2.1401,                0.72826,                 0.9937,                0.77089,                0.72339,                0.71692,                0.44385,                0.72239,                0.66557,                0.67916,                0.29461,                 1.3415,                 2.3543,                 0.7279,                0.92756,               0.003466,               0.003466,               0.003466
                     69,                 1.3315,                 2.1431,                0.73192,                 0.9946,                0.76931,                0.72323,                0.71668,                0.44342,                0.72015,                0.66031,                0.67485,                0.29401,                  1.343,                 2.3489,                0.72912,                0.92769,               0.003367,               0.003367,               0.003367
                     70,                  1.331,                 2.1275,                 0.7377,                0.98868,                0.77009,                0.72288,                0.71842,                0.44515,                0.72267,                0.67051,                0.67841,                0.29625,                 1.3409,                 2.3491,                0.73027,                0.92733,               0.003268,               0.003268,               0.003268
